t,seen,trust,why,tgt_pinky,tgt_ring,tgt_middle,tgt_index,tgt_thumb_bend,tgt_thumb_rot,curl_pinky,curl_ring,curl_middle,curl_index,thumb_flexion,opposition,ang_pinky,ang_ring,ang_middle,ang_index,ang_thumb_bend,ang_thumb_rot,cur_pinky,cur_ring,cur_middle,cur_index,cur_thumb_bend,cur_thumb_rot
0.0000,1,1,,1198,1049,1092,1091,1582,1351,122.827,147.362,140.276,140.468,46.119,73.931,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.2154,0,0,,,,,,,,,,,,,,1550,1467,1367,1307,1375,1096,0,0,0,0,0,0
0.2325,1,1,,1653,1569,1524,1629,1850,1682,47.569,61.346,68.924,51.543,13.465,31.465,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.2646,1,1,,1708,1566,1544,1640,1814,1708,38.424,61.883,65.533,49.733,19.113,28.192,1550,1467,1367,1307,1375,1096,0,0,0,0,0,0
0.2824,1,1,,1737,1616,1597,1670,1792,1745,33.603,53.676,56.772,44.696,21.751,23.346,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.2964,1,1,,1754,1637,1603,1667,1830,1795,30.775,50.141,55.862,45.208,17.267,17.041,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.3305,1,1,,1756,1626,1587,1668,1829,1780,30.507,51.917,58.453,45.064,17.433,18.961,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.3624,1,1,,1766,1606,1576,1678,1827,1775,28.877,55.239,60.286,43.345,17.623,19.579,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.3944,1,1,,1736,1609,1587,1680,1815,1783,33.787,54.818,58.420,43.000,19.073,18.538,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.4304,1,1,,1725,1608,1593,1666,1799,1746,35.647,54.999,57.381,45.420,20.913,23.213,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.4624,1,1,,1726,1613,1604,1679,1806,1759,35.403,54.084,55.595,43.138,20.088,21.609,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.4984,1,1,,1732,1629,1605,1686,1808,1770,34.487,51.538,55.373,42.100,19.832,20.222,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.5304,1,1,,1721,1601,1582,1675,1810,1796,36.325,56.077,59.310,43.823,19.546,16.917,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.5624,1,1,,1731,1603,1561,1666,1823,1781,34.544,55.764,62.761,45.397,18.069,18.773,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.5944,1,1,,1744,1610,1561,1670,1815,1752,32.482,54.633,62.670,44.620,18.990,22.550,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.6324,1,1,,1749,1636,1602,1675,1817,1761,31.709,50.258,56.018,43.800,18.780,21.389,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.6624,1,1,,1757,1657,1643,1696,1794,1716,30.370,46.831,49.183,40.384,21.417,27.073,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.6944,1,1,,1758,1689,1677,1703,1798,1677,30.090,41.625,43.508,39.216,20.994,32.165,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.7304,1,1,,1763,1682,1679,1712,1804,1723,29.365,42.659,43.181,37.668,20.313,26.257,1550,1467,1367,1307,1375,1096,0,0,0,0,0,0
0.7624,1,1,,1753,1673,1666,1715,1817,1736,31.021,44.163,45.343,37.245,18.772,24.606,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.7944,1,1,,1758,1656,1647,1700,1818,1750,30.060,46.979,48.509,39.687,18.666,22.752,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.8304,1,1,,1767,1668,1664,1693,1809,1764,28.613,44.949,45.727,40.919,19.757,20.966,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.8624,1,1,,1756,1667,1658,1696,1800,1801,30.411,45.220,46.700,40.446,20.741,16.192,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.8944,1,1,,1752,1657,1643,1699,1784,1797,31.112,46.786,49.103,39.936,22.597,16.765,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.9304,1,1,,1766,1658,1653,1700,1794,1781,28.860,46.686,47.573,39.660,21.410,18.773,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.9624,1,1,,1771,1656,1651,1703,1801,1765,27.955,47.027,47.890,39.291,20.680,20.829,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.9944,1,1,,1763,1652,1643,1695,1799,1774,29.371,47.717,49.149,40.565,20.871,19.703,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.0304,1,1,,1767,1666,1653,1716,1806,1736,28.576,45.322,47.576,37.022,20.089,24.537,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.0624,1,1,,1766,1670,1663,1710,1795,1754,28.759,44.675,45.814,38.095,21.399,22.182,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.0944,1,1,,1768,1676,1662,1720,1782,1746,28.550,43.718,46.058,36.373,22.852,23.287,1550,1467,1367,1307,1375,1096,0,0,0,0,0,0
1.1304,1,1,,1779,1686,1678,1732,1782,1730,26.663,41.990,43.309,34.447,22.869,25.258,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.1624,1,1,,1768,1686,1688,1744,1781,1758,28.412,42.127,41.724,32.436,22.963,21.786,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.1944,1,1,,1762,1694,1673,1757,1765,1714,29.431,40.658,44.191,30.235,24.786,27.313,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.2304,1,1,,1781,1738,1691,1785,1850,1655,26.362,33.385,41.187,25.658,13.360,34.917,1550,1467,1367,1307,1375,1096,0,0,0,0,0,0
1.2624,1,0,handedness unsure,1742,1705,1614,1738,1850,1739,32.709,38.907,54.043,33.401,7.478,24.204,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.2944,1,0,handedness unsure,1749,1639,1600,1717,1850,1780,31.615,49.806,56.360,36.966,7.064,18.918,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.3304,1,1,,1761,1751,1752,1774,1726,1542,29.684,31.285,31.065,27.413,29.335,49.390,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.3624,1,1,,1757,1668,1686,1749,1772,1675,30.328,45.036,42.098,31.605,23.980,32.382,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.3944,1,1,,1757,1673,1698,1742,1766,1703,30.225,44.217,39.996,32.812,24.691,28.747,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.4304,1,1,,1781,1668,1675,1757,1796,1668,26.411,45.083,43.874,30.245,21.281,33.239,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.4624,1,1,,1772,1649,1655,1753,1802,1705,27.884,48.191,47.219,31.038,20.536,28.495,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.4944,1,1,,1766,1637,1631,1739,1820,1753,28.779,50.129,51.203,33.337,18.421,22.362,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.5304,1,1,,1785,1676,1656,1750,1784,1712,25.712,43.766,47.092,31.439,22.654,27.656,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.5624,1,1,,1776,1711,1695,1815,1794,1362,27.168,37.888,40.506,20.668,21.504,72.502,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.5944,1,1,,1766,1798,1601,1473,1771,1707,28.875,23.536,56.089,77.210,24.125,28.321,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
