t,seen,trust,why,tgt_pinky,tgt_ring,tgt_middle,tgt_index,tgt_thumb_bend,tgt_thumb_rot,curl_pinky,curl_ring,curl_middle,curl_index,thumb_flexion,opposition,ang_pinky,ang_ring,ang_middle,ang_index,ang_thumb_bend,ang_thumb_rot,cur_pinky,cur_ring,cur_middle,cur_index,cur_thumb_bend,cur_thumb_rot
0.0000,1,1,,1795,1651,1627,1743,1818,1759,24.007,47.901,51.884,32.652,18.715,21.666,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.1954,1,1,,1783,1633,1585,1679,1804,1744,26.024,50.820,58.683,43.197,20.261,23.495,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.2145,1,1,,1775,1637,1612,1689,1802,1717,27.288,50.093,54.367,41.602,20.584,26.951,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.2284,1,1,,1775,1636,1606,1677,1807,1740,27.293,50.246,55.254,43.616,19.984,23.989,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.2585,1,1,,1779,1651,1621,1674,1798,1728,26.597,47.780,52.814,44.003,20.987,25.539,1550,1467,1367,1307,1375,1096,0,0,0,0,0,0
0.2844,1,1,,1785,1652,1619,1669,1792,1746,25.649,47.739,53.189,44.848,21.738,23.245,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.3044,1,1,,1786,1654,1627,1672,1792,1743,25.575,47.388,51.758,44.376,21.652,23.716,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.3405,1,1,,1774,1642,1617,1667,1793,1757,27.514,49.346,53.456,45.138,21.546,21.872,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.3724,1,1,,1784,1650,1616,1663,1785,1747,25.861,47.966,53.586,45.882,22.525,23.140,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.4164,1,1,,1793,1659,1634,1665,1781,1753,24.344,46.455,50.595,45.577,22.970,22.412,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.4404,1,1,,1791,1651,1625,1661,1776,1735,24.736,47.848,52.215,46.149,23.584,24.636,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.4804,1,1,,1787,1644,1625,1664,1775,1724,25.417,48.962,52.137,45.635,23.633,26.113,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.5044,1,1,,1793,1635,1622,1651,1791,1726,24.365,50.416,52.575,47.896,21.813,25.841,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.5404,1,1,,1796,1638,1619,1652,1787,1719,23.846,49.972,53.179,47.714,22.332,26.781,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.5765,1,1,,1791,1632,1616,1653,1788,1724,24.705,51.017,53.562,47.563,22.119,26.042,1550,1467,1367,1307,1375,1096,0,0,0,0,0,0
0.6084,1,1,,1793,1643,1625,1668,1787,1728,24.294,49.224,52.105,44.972,22.252,25.625,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.6404,1,1,,1792,1645,1627,1674,1794,1732,24.577,48.788,51.775,44.072,21.447,25.027,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.6724,1,1,,1771,1627,1607,1662,1802,1722,27.926,51.882,55.175,46.023,20.579,26.410,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.7044,1,1,,1777,1639,1607,1676,1809,1724,26.941,49.813,55.188,43.623,19.718,26.119,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.7404,1,1,,1779,1645,1607,1681,1808,1725,26.611,48.777,55.155,42.918,19.837,25.987,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.7824,1,1,,1764,1645,1607,1677,1799,1726,29.067,48.809,55.161,43.544,20.922,25.828,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.8084,1,1,,1761,1632,1595,1673,1815,1723,29.717,50.947,57.133,44.231,19.018,26.230,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.8504,1,1,,1758,1631,1604,1672,1794,1757,30.175,51.172,55.588,44.412,21.413,21.827,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.8724,1,1,,1761,1631,1608,1660,1793,1748,29.709,51.079,54.946,46.396,21.548,23.043,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.9044,1,1,,1758,1642,1611,1672,1794,1745,30.089,49.314,54.409,44.407,21.479,23.422,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.9504,1,1,,1775,1651,1604,1673,1803,1681,27.373,47.800,55.698,44.262,20.459,31.641,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.9724,1,1,,1763,1625,1603,1682,1784,1588,29.255,52.123,55.825,42.630,22.623,43.471,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.0044,1,1,,1693,1560,1558,1698,1798,1585,40.955,62.859,63.212,40.064,21.049,43.863,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.0404,1,1,,1620,1483,1422,1579,1759,1592,52.990,75.642,85.672,59.792,25.568,43.040,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.0724,1,1,,1547,1380,1321,1500,1707,1635,64.993,92.720,102.476,72.814,31.544,37.463,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.1084,1,1,,1416,1279,1228,1379,1659,1566,86.790,109.381,117.803,92.859,37.213,46.363,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.1404,1,1,,1254,1121,1093,1183,1621,1386,113.443,135.522,140.119,125.226,41.604,69.392,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.1824,1,1,,1180,1048,1034,1086,1585,1453,125.830,147.646,152.791,141.260,45.792,60.852,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.2064,1,1,,1176,1034,1034,1113,1546,1489,126.400,150.244,152.759,136.803,50.390,56.210,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.2404,1,1,,1174,1034,1034,1118,1492,1503,126.673,154.089,152.972,136.048,56.592,54.373,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.2724,1,1,,1154,1034,1034,1096,1437,1538,130.015,157.003,156.275,139.733,63.019,49.899,1550,1467,1367,1308,1375,1097,0,0,0,0,0,0
1.3084,1,1,,1144,1034,1034,1120,1431,1521,131.669,157.163,157.226,135.668,63.717,52.054,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.3404,1,1,,1133,1034,1034,1095,1380,1556,133.540,159.038,158.327,139.841,69.606,47.692,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.3724,1,1,,1116,1034,1034,1150,1358,1606,136.392,159.789,157.148,130.787,72.248,41.277,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.4024,1,1,,1102,1034,1034,1111,1324,1632,138.717,163.089,161.675,137.116,76.157,37.941,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.4404,1,1,,1098,1034,1034,1243,1327,1633,139.358,161.364,159.611,115.417,75.867,37.807,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.4724,1,1,,1107,1034,1034,1215,1320,1720,137.867,160.222,157.431,119.995,76.603,26.663,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.5044,1,1,,1101,1034,1034,1102,1302,1727,138.869,159.651,160.284,138.626,78.760,25.710,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.5404,1,1,,1095,1034,1034,1034,1324,1766,139.867,161.622,162.394,152.899,76.201,20.743,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.5724,1,1,,1105,1034,1034,1048,1349,1724,138.124,160.101,160.898,147.571,73.299,26.138,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.6084,1,1,,1129,1034,1034,1034,1372,1720,134.162,157.031,157.941,151.020,70.617,26.641,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.6504,1,1,,1158,1034,1034,1034,1410,1711,129.423,152.756,155.974,151.638,66.165,27.772,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.6724,1,1,,1179,1038,1034,1086,1426,1757,125.935,149.189,150.730,141.303,64.298,21.895,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.7145,1,1,,1221,1107,1096,1201,1519,1827,118.950,137.888,139.712,122.343,53.424,12.888,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.7404,1,1,,1293,1189,1179,1356,1690,1847,107.050,124.198,125.878,96.574,33.529,10.377,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.7724,1,1,,1359,1235,1218,1424,1750,1695,96.206,116.731,119.510,85.395,26.640,29.845,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.8044,1,1,,1566,1467,1449,1574,1784,1610,61.863,78.237,81.231,60.600,22.583,40.741,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.8404,1,1,,1652,1563,1532,1666,1812,1688,47.631,62.465,67.517,45.317,19.341,30.728,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.8724,1,1,,1750,1629,1607,1705,1831,1738,31.501,51.538,55.133,38.899,17.195,24.330,1550,1467,1367,1307,1375,1096,0,0,0,0,0,0
1.9044,1,1,,1748,1634,1618,1688,1830,1747,31.738,50.631,53.240,41.720,17.289,23.151,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.9504,1,1,,1757,1628,1619,1696,1807,1735,30.313,51.618,53.071,40.455,19.988,24.619,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.9725,1,1,,1781,1620,1608,1684,1803,1721,26.316,53.029,54.919,42.313,20.438,26.488,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
2.0045,1,1,,1767,1624,1598,1687,1793,1751,28.715,52.262,56.608,41.950,21.563,22.638,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
2.0405,1,1,,1782,1635,1615,1691,1794,1772,26.212,50.432,53.837,41.160,21.422,19.973,1550,1467,1367,1308,1375,1097,0,0,0,0,0,0
2.0825,1,1,,1775,1624,1611,1694,1796,1789,27.244,52.233,54.488,40.801,21.250,17.711,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
2.1205,1,1,,1772,1628,1619,1702,1791,1798,27.790,51.578,53.145,39.415,21.761,16.553,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
2.1404,1,1,,1771,1633,1619,1691,1799,1808,28.019,50.762,53.113,41.206,20.883,15.312,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
2.1724,1,1,,1771,1634,1618,1691,1796,1809,27.911,50.630,53.288,41.199,21.212,15.166,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
2.2044,1,1,,1767,1631,1613,1678,1794,1815,28.585,51.206,54.175,43.410,21.456,14.407,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
2.2404,1,1,,1761,1632,1611,1681,1795,1813,29.657,50.982,54.438,42.941,21.396,14.623,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
