t,seen,trust,why,tgt_pinky,tgt_ring,tgt_middle,tgt_index,tgt_thumb_bend,tgt_thumb_rot,curl_pinky,curl_ring,curl_middle,curl_index,thumb_flexion,opposition,ang_pinky,ang_ring,ang_middle,ang_index,ang_thumb_bend,ang_thumb_rot,cur_pinky,cur_ring,cur_middle,cur_index,cur_thumb_bend,cur_thumb_rot
0.0000,1,1,,1732,1638,1572,1649,1837,1716,34.393,49.947,60.971,48.160,16.507,27.127,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.2094,1,1,,1709,1623,1589,1664,1811,1643,38.264,52.447,58.080,45.756,19.482,36.531,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.2285,1,1,,1691,1619,1600,1662,1811,1633,41.151,53.168,56.311,46.015,19.482,37.741,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.2424,1,1,,1676,1613,1609,1652,1806,1689,43.655,54.130,54.835,47.673,20.009,30.616,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.2704,1,1,,1701,1621,1613,1662,1815,1727,39.618,52.871,54.081,45.956,19.067,25.645,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.3024,1,1,,1717,1624,1624,1669,1805,1791,36.964,52.329,52.386,44.920,20.157,17.447,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.3364,1,1,,1727,1639,1623,1678,1802,1778,35.307,49.843,52.535,43.446,20.479,19.132,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.3704,1,1,,1724,1626,1609,1669,1788,1771,35.742,52.006,54.828,44.850,22.149,20.104,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.4024,1,1,,1744,1627,1612,1666,1792,1758,32.534,51.837,54.245,45.418,21.697,21.742,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.4344,1,1,,1745,1626,1625,1674,1782,1716,32.369,51.947,52.067,43.968,22.818,27.092,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.4824,1,1,,1739,1617,1617,1666,1796,1701,33.354,53.546,53.503,45.417,21.194,29.061,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.5024,1,1,,1740,1621,1617,1663,1791,1703,33.113,52.845,53.419,45.838,21.754,28.835,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.5344,1,1,,1733,1624,1619,1675,1807,1706,34.293,52.243,53.053,43.934,19.986,28.377,1550,1467,1367,1308,1375,1097,0,0,0,0,0,0
0.5704,1,1,,1724,1614,1603,1669,1825,1728,35.823,54.018,55.857,44.940,17.867,25.579,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.6144,1,1,,1730,1611,1597,1657,1829,1725,34.843,54.526,56.758,46.809,17.331,25.917,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.6464,1,1,,1729,1608,1594,1662,1836,1690,34.884,54.908,57.229,46.059,16.625,30.509,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.6709,1,1,,1746,1615,1598,1660,1846,1679,32.165,53.831,56.595,46.395,15.353,31.814,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.7144,1,1,,1716,1579,1571,1641,1831,1655,37.043,59.760,61.103,49.553,17.115,34.897,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.7344,1,1,,1729,1588,1575,1637,1823,1675,34.945,58.213,60.487,50.217,18.089,32.412,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.7824,1,1,,1731,1585,1572,1633,1822,1702,34.559,58.762,60.960,50.888,18.165,28.894,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.8144,1,1,,1739,1583,1554,1614,1803,1680,33.280,59.140,63.936,54.012,20.420,31.747,1550,1467,1367,1308,1375,1097,0,0,0,0,0,0
0.8344,1,1,,1719,1597,1560,1606,1806,1713,36.660,56.826,62.863,55.365,20.081,27.489,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.8704,1,1,,1743,1586,1557,1609,1812,1707,32.653,58.552,63.386,54.848,19.357,28.297,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.9024,1,1,,1753,1604,1579,1635,1837,1719,30.995,55.663,59.714,50.438,16.446,26.760,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
0.9344,1,1,,1762,1607,1565,1633,1823,1774,29.529,55.062,62.061,50.870,18.088,19.691,1550,1467,1367,1308,1375,1097,0,0,0,0,0,0
0.9704,1,1,,1747,1610,1568,1640,1805,1785,31.969,54.611,61.589,49.583,20.177,18.320,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.0024,1,1,,1742,1609,1564,1642,1802,1787,32.856,54.783,62.218,49.382,20.588,18.027,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
1.0344,1,1,,1732,1608,1559,1641,1805,1778,34.415,54.933,63.052,49.423,20.163,19.189,1550,1467,1367,1307,1375,1097,0,0,0,0,0,0
