=== mode=sii  iface=eth1  axis=2 ===
slave advertises mbx_proto=0x0004 (CoE=1)
  -> mbx_proto forced to 0 (what hand_ctl/handd/the probe do)
mapped: Obytes=38 Obits=304  Ibytes=152 Ibits=1216  (owords=19)
SM2 after map: start=0x1100 len=38   SM3: start=0x1400 len=152
SAFE_OP: state=0x04 AL=0x0000
OP request (1 kHz throughout, 120 ms): state=0x08 AL=0x0000
telemetry: STA=[2 2 2 2 2 2] ANG=[1805 1786 1789 1782 1375 1048]
           CUR=[0 0 0 0 0 0] ERR=[0 0 0 0 0 0]
ang_start=1789  swinging between 1639 and 1700, enable=1, link held open for 6 s at 1 kHz
end of hold: state=0x08 AL=0x0000  WDcount(procdata)=29 WDstatus=0x0001

max_dANG=0 (moved > 30)  max_CUR=0 mA
verdict: NOTHING - flat and unpowered, same as every earlier run. Mode sii is not the missing piece.
t_ms,target,angleact,cur,sta
0,1700,1789,0,2
20,1700,1789,0,1
40,1700,1789,0,1
61,1700,1789,0,1
81,1700,1789,0,1
101,1700,1789,0,1
122,1700,1789,0,1
142,1700,1789,0,1
162,1700,1789,0,1
182,1700,1789,0,1
202,1700,1789,0,1
223,1700,1789,0,1
243,1700,1789,0,1
263,1700,1789,0,1
284,1700,1789,0,1
304,1700,1789,0,1
324,1700,1789,0,1
344,1700,1789,0,1
364,1700,1789,0,1
384,1700,1789,0,1
405,1700,1789,0,1
425,1700,1789,0,1
446,1700,1789,0,1
466,1700,1789,0,1
486,1700,1789,0,1
506,1700,1789,0,1
526,1700,1789,0,1
546,1700,1789,0,1
566,1700,1789,0,1
586,1700,1789,0,1
607,1700,1789,0,1
627,1700,1789,0,1
647,1700,1789,0,1
667,1700,1789,0,1
687,1700,1789,0,1
707,1700,1789,0,1
727,1700,1789,0,1
747,1700,1789,0,1
767,1700,1789,0,1
787,1700,1789,0,1
807,1700,1789,0,1
828,1700,1789,0,1
848,1700,1789,0,1
868,1700,1789,0,1
888,1700,1789,0,1
908,1700,1789,0,1
928,1700,1789,0,1
948,1700,1789,0,1
968,1700,1789,0,1
989,1700,1789,0,1
1009,1700,1789,0,1
1029,1700,1789,0,1
1049,1700,1789,0,1
1069,1700,1789,0,1
1089,1700,1789,0,1
1109,1700,1789,0,1
1129,1700,1789,0,1
1149,1700,1789,0,1
1169,1700,1789,0,1
1189,1700,1789,0,1
1209,1700,1789,0,1
1229,1700,1789,0,1
1249,1700,1789,0,1
1269,1700,1789,0,1
1289,1700,1789,0,1
1310,1700,1789,0,1
1330,1700,1789,0,1
1350,1700,1789,0,1
1370,1700,1789,0,1
1390,1700,1789,0,1
1411,1700,1789,0,1
1431,1700,1789,0,1
1451,1700,1789,0,1
1471,1700,1789,0,1
1491,1700,1789,0,1
1512,1700,1789,0,1
1532,1700,1789,0,1
1552,1700,1789,0,1
1572,1700,1789,0,1
1592,1700,1789,0,1
1612,1700,1789,0,1
1632,1700,1789,0,1
1652,1700,1789,0,1
1673,1700,1789,0,1
1693,1700,1789,0,1
1713,1700,1789,0,1
1733,1700,1789,0,1
1753,1700,1789,0,1
1774,1700,1789,0,1
1794,1700,1789,0,1
1814,1700,1789,0,1
1835,1700,1789,0,1
1855,1700,1789,0,1
1875,1700,1789,0,1
1895,1700,1789,0,1
1915,1700,1789,0,1
1936,1700,1789,0,1
1956,1700,1789,0,1
1976,1700,1789,0,1
1996,1700,1789,0,1
2016,1700,1789,0,1
2037,1700,1789,0,1
2057,1700,1789,0,1
2077,1700,1789,0,1
2097,1700,1789,0,1
2117,1700,1789,0,1
2137,1700,1789,0,1
2158,1700,1789,0,1
2179,1700,1789,0,1
2199,1700,1789,0,1
2219,1700,1789,0,1
2239,1700,1789,0,1
2259,1700,1789,0,1
2280,1700,1789,0,1
2300,1700,1789,0,1
2320,1700,1789,0,1
2340,1700,1789,0,1
2360,1700,1789,0,1
2380,1700,1789,0,1
2400,1700,1789,0,1
2420,1700,1789,0,1
2440,1700,1789,0,1
2461,1700,1789,0,1
2481,1700,1789,0,1
2501,1700,1789,0,1
2521,1700,1789,0,1
2542,1700,1789,0,1
2562,1700,1789,0,1
2582,1700,1789,0,1
2602,1700,1789,0,1
2622,1700,1789,0,1
2643,1700,1789,0,1
2663,1700,1789,0,1
2683,1700,1789,0,1
2703,1700,1789,0,1
2723,1700,1789,0,1
2743,1700,1789,0,1
2764,1700,1789,0,1
2784,1700,1789,0,1
2804,1700,1789,0,1
2824,1700,1789,0,1
2844,1700,1789,0,1
2864,1700,1789,0,1
2884,1700,1789,0,1
2904,1700,1789,0,1
2925,1700,1789,0,1
2945,1700,1789,0,1
2965,1700,1789,0,1
2985,1700,1789,0,1
3005,1639,1789,0,1
3025,1639,1789,0,1
3045,1639,1789,0,1
3065,1639,1789,0,1
3085,1639,1789,0,1
3106,1639,1789,0,1
3126,1639,1789,0,1
3146,1639,1789,0,1
3166,1639,1789,0,1
3186,1639,1789,0,1
3206,1639,1789,0,1
