PRE_OP for the mailbox: state=0x02  mbx_proto=0x0004
0x1C32:01 before = 1 (SM-Synchron)
write 0x1C32:01 = 0 -> wkc=1
0x1C32:01 after  = 0  <== the slave took it
mapped: Obytes=38 Ibytes=152
OP: state=0x08 AL=0x0000 after 160 ms
telemetry: STA=[2 2 1 2 2 2] ANG=[1804 1786 1312 1782 1375 1048] CUR=[0 0 0 0 0 0] ERR=[0 0 0 0 0 0]
ang_start=1312  swinging 1112 <-> 1512, enable=1, link held 8 s at 1 kHz
end of hold: state=0x08 AL=0x0000
restored 0x1C32:01 to 1 (reads back 1)

sync mode 0, cycle time was 0 ns
max_dANG=0 (moved > 30)  max_CUR=0 mA
verdict: NOTHING - sync mode 0 behaves exactly like the one before it
t_ms,target,angleact,cur,sta
0,1512,1312,0,1
20,1512,1312,0,1
40,1512,1312,0,1
60,1512,1312,0,1
80,1512,1312,0,1
100,1512,1312,0,1
120,1512,1312,0,1
140,1512,1312,0,1
160,1512,1312,0,1
180,1512,1312,0,1
200,1512,1312,0,1
221,1512,1312,0,1
241,1512,1312,0,1
261,1512,1312,0,1
281,1512,1312,0,1
302,1512,1312,0,1
322,1512,1312,0,1
342,1512,1312,0,1
362,1512,1312,0,1
382,1512,1312,0,1
402,1512,1312,0,1
422,1512,1312,0,1
442,1512,1312,0,1
462,1512,1312,0,1
482,1512,1312,0,1
502,1512,1312,0,1
522,1512,1312,0,1
542,1512,1312,0,1
562,1512,1312,0,1
582,1512,1312,0,1
602,1512,1312,0,1
622,1512,1312,0,1
642,1512,1312,0,1
663,1512,1312,0,1
683,1512,1312,0,1
703,1512,1312,0,1
723,1512,1312,0,1
743,1512,1312,0,1
763,1512,1312,0,1
783,1512,1312,0,1
803,1512,1312,0,1
823,1512,1312,0,1
843,1512,1312,0,1
863,1512,1312,0,1
884,1512,1312,0,1
904,1512,1312,0,1
924,1512,1312,0,1
944,1512,1312,0,1
964,1512,1312,0,1
984,1512,1312,0,1
1004,1512,1312,0,1
1024,1512,1312,0,1
1045,1512,1312,0,1
1065,1512,1312,0,1
1085,1512,1312,0,1
1105,1512,1312,0,1
1125,1512,1312,0,1
1145,1512,1312,0,1
1165,1512,1312,0,1
1185,1512,1312,0,1
1205,1512,1312,0,1
1225,1512,1312,0,1
1245,1512,1312,0,1
1265,1512,1312,0,1
1285,1512,1312,0,1
1306,1512,1312,0,1
1326,1512,1312,0,1
1346,1512,1312,0,1
1366,1512,1312,0,1
1386,1512,1312,0,1
1406,1512,1312,0,1
1426,1512,1312,0,1
1446,1512,1312,0,1
1466,1512,1312,0,1
1487,1512,1312,0,1
1507,1512,1312,0,1
1527,1512,1312,0,1
1547,1512,1312,0,1
1567,1512,1312,0,1
1587,1512,1312,0,1
1607,1512,1312,0,1
1627,1512,1312,0,1
1647,1512,1312,0,1
1667,1512,1312,0,1
1687,1512,1312,0,1
1707,1512,1312,0,1
1727,1512,1312,0,1
1747,1512,1312,0,1
1767,1512,1312,0,1
1787,1512,1312,0,1
1807,1512,1312,0,1
1827,1512,1312,0,1
1848,1512,1312,0,1
1868,1512,1312,0,1
1888,1512,1312,0,1
1909,1512,1312,0,1
1929,1512,1312,0,1
1949,1512,1312,0,1
1969,1512,1312,0,1
1989,1512,1312,0,1
2009,1512,1312,0,1
2029,1512,1312,0,1
2050,1512,1312,0,1
2071,1512,1312,0,1
2091,1512,1312,0,1
2111,1512,1312,0,1
2131,1512,1312,0,1
2151,1512,1312,0,1
2171,1512,1312,0,1
2191,1512,1312,0,1
2211,1512,1312,0,1
2231,1512,1312,0,1
2251,1512,1312,0,1
2271,1512,1312,0,1
2291,1512,1312,0,1
2311,1512,1312,0,1
2331,1512,1312,0,1
2351,1512,1312,0,1
2371,1512,1312,0,1
2391,1512,1312,0,1
2411,1512,1312,0,1
2431,1512,1312,0,1
2451,1512,1312,0,1
2471,1512,1312,0,1
2491,1512,1312,0,1
2511,1512,1312,0,1
2532,1512,1312,0,1
2552,1512,1312,0,1
2572,1512,1312,0,1
2592,1512,1312,0,1
2612,1512,1312,0,1
2632,1512,1312,0,1
2652,1512,1312,0,1
2672,1512,1312,0,1
2692,1512,1312,0,1
2712,1512,1312,0,1
2732,1512,1312,0,1
2753,1512,1312,0,1
2773,1512,1312,0,1
2793,1512,1312,0,1
2813,1512,1312,0,1
2833,1512,1312,0,1
2853,1512,1312,0,1
2873,1512,1312,0,1
2893,1512,1312,0,1
2913,1512,1312,0,1
2933,1512,1312,0,1
2953,1512,1312,0,1
2973,1512,1312,0,1
2993,1512,1312,0,1
3013,1512,1312,0,1
3033,1512,1312,0,1
3053,1512,1312,0,1
3074,1512,1312,0,1
3094,1512,1312,0,1
3114,1512,1312,0,1
3135,1512,1312,0,1
3155,1512,1312,0,1
3175,1512,1312,0,1
3195,1512,1312,0,1
3215,1512,1312,0,1
3235,1512,1312,0,1
3255,1512,1312,0,1
3275,1512,1312,0,1
3295,1512,1312,0,1
3316,1512,1312,0,1
3336,1512,1312,0,1
3356,1512,1312,0,1
3376,1512,1312,0,1
3396,1512,1312,0,1
3416,1512,1312,0,1
3436,1512,1312,0,1
3456,1512,1312,0,1
3477,1512,1312,0,1
3497,1512,1312,0,1
3517,1512,1312,0,1
3537,1512,1312,0,1
3557,1512,1312,0,1
3577,1512,1312,0,1
3597,1512,1312,0,1
3617,1512,1312,0,1
3638,1512,1312,0,1
3658,1512,1312,0,1
3678,1512,1312,0,1
3698,1512,
