axis=2 center=525 amp=300 duration_s=10
wake=ok after 1ms
ang_start=998 ang_preclose=998 max_dANG_open=0 (moved > 30)
ang_postclose=896 dANG_postclose=102
verdict: DISCONNECT-GATED - flat while open, moved only after ecx_close
phase,t_ms,target,angleact,pos,sta,cur,err
open,0,-1,998,1552,2,0,0
open,21,-1,998,1552,2,0,0
open,41,-1,998,1552,2,0,0
open,62,-1,998,1552,2,0,0
open,82,-1,998,1552,2,0,0
open,102,-1,998,1552,2,0,0
open,122,-1,998,1552,2,0,0
open,142,-1,998,1552,2,0,0
open,162,-1,998,1552,2,0,0
open,182,-1,998,1552,2,0,0
open,202,-1,998,1552,2,0,0
open,222,-1,998,1552,2,0,0
open,242,-1,998,1552,2,0,0
open,262,-1,998,1552,2,0,0
open,282,-1,998,1552,2,0,0
open,303,-1,998,1552,2,0,0
open,323,-1,998,1552,2,0,0
open,343,-1,998,1552,2,0,0
open,363,-1,998,1552,2,0,0
open,383,-1,998,1552,2,0,0
open,404,-1,998,1552,2,0,0
open,424,-1,998,1552,2,0,0
open,445,-1,998,1552,2,0,0
open,465,-1,998,1552,2,0,0
open,485,-1,998,1552,2,0,0
open,505,825,998,1552,2,0,0
open,525,825,998,1552,1,0,0
open,546,825,998,1552,1,0,0
open,566,825,998,1552,1,0,0
open,587,825,998,1552,1,0,0
open,607,825,998,1552,1,0,0
open,627,825,998,1552,1,0,0
open,647,825,998,1552,1,0,0
open,667,825,998,1552,1,0,0
open,687,825,998,1552,1,0,0
open,707,825,998,1552,1,0,0
open,727,825,998,1552,1,0,0
open,747,825,998,1552,1,0,0
open,767,825,998,1552,1,0,0
open,787,825,998,1552,1,0,0
open,807,825,998,1552,1,0,0
open,827,825,998,1552,1,0,0
open,847,825,998,1552,1,0,0
open,867,825,998,1552,1,0,0
open,888,825,998,1552,1,0,0
open,908,825,998,1552,1,0,0
open,929,825,998,1552,1,0,0
open,949,825,998,1552,1,0,0
open,969,825,998,1552,1,0,0
open,989,825,998,1552,1,0,0
open,1009,225,998,1552,1,0,0
open,1029,225,998,1552,1,0,0
open,1049,225,998,1552,1,0,0
open,1070,225,998,1552,1,0,0
open,1090,225,998,1552,1,0,0
open,1110,225,998,1552,1,0,0
open,1130,225,998,1552,1,0,0
open,1150,225,998,1552,1,0,0
open,1170,225,998,1552,1,0,0
open,1190,225,998,1552,1,0,0
open,1211,225,998,1552,1,0,0
open,1231,225,998,1552,1,0,0
open,1252,225,998,1552,1,0,0
open,1272,225,998,1552,1,0,0
open,1292,225,998,1552,1,0,0
open,1312,225,998,1552,1,0,0
open,1332,225,998,1552,1,0,0
open,1352,225,998,1552,1,0,0
open,1372,225,998,1552,1,0,0
open,1393,225,998,1552,1,0,0
open,1413,225,998,1552,1,0,0
open,1434,225,998,1552,1,0,0
open,1454,225,998,1552,1,0,0
open,1475,225,998,1552,1,0,0
open,1495,225,998,1552,1,0,0
open,1515,825,998,1552,1,0,0
open,1535,825,998,1552,1,0,0
open,1555,825,998,1552,1,0,0
open,1575,825,998,1552,1,0,0
open,1595,825,998,1552,1,0,0
open,1615,825,998,1552,1,0,0
open,1635,825,998,1552,1,0,0
open,1655,825,998,1552,1,0,0
open,1676,825,998,1552,1,0,0
open,1696,825,998,1552,1,0,0
open,1717,825,998,1552,1,0,0
open,1737,825,998,1552,1,0,0
open,1758,825,998,1552,1,0,0
open,1778,825,998,1552,1,0,0
open,1798,825,998,1552,1,0,0
open,1818,825,998,1552,1,0,0
open,1838,825,998,1552,1,0,0
open,1858,825,998,1552,1,0,0
open,1878,825,998,1552,1,0,0
open,1898,825,998,1552,1,0,0
open,1918,825,998,1552,1,0,0
open,1938,825,998,1552,1,0,0
open,1959,825,998,1552,1,0,0
open,1979,825,998,1552,1,0,0
open,1999,825,998,1552,1,0,0
open,2019,225,998,1552,1,0,0
open,2039,225,998,1552,1,0,0
open,2059,225,998,1552,1,0,0
open,2079,225,998,1552,1,0,0
open,2100,225,998,1552,1,0,0
open,2120,225,998,1552,1,0,0
open,2140,225,998,1552,1,0,0
open,2160,225,998,1552,1,0,0
open,2180,225,998,1552,1,0,0
open,2200,225,998,1552,1,0,0
open,2220,225,998,1552,1,0,0
open,2240,225,998,1552,1,0,0
open,2260,225,998,1552,1,0,0
open,2280,225,998,1552,1,0,0
open,2300,225,998,1552,1,0,0
open,2320,225,998,1552,1,0,0
open,2340,225,998,1552,1,0,0
open,2360,225,998,1552,1,0,0
open,2380,225,998,1552,1,0,0
open,2400,225,998,1552,1,0,0
open,2420,225,998,1552,1,0,0
open,2440,225,998,1552,1,0,0
open,2460,225,998,1552,1,0,0
open,2480,225,998,1552,1,0,0
open,2500,225,998,1552,1,0,0
open,2520,825,998,1552,1,0,0
open,2540,825,998,1552,1,0,0
open,2560,825,998,1552,1,0,0
open,2580,825,998,1552,1,0,0
open,2600,825,998,1552,1,0,0
open,2620,825,998,1552,1,0,0
open,2640,825,998,1552,1,0,0
open,2660,825,998,1552,1,0,0
open,2680,825,998,1552,1,0,0
open,2700,825,998,1552,1,0,0
open,2720,825,998,1552,1,0,0
open,2740,825,998,1552,1,0,0
open,2760,825,998,1552,1,0,0
open,2780,825,998,1552,1,0,0
open,2800,825,998,1552,1,0,0
open,2820,825,998,1552,1,0,0
open,2841,825,998,1552,1,0,0
open,2861,825,998,1552,1,0,0
open,2881,825,998,1552,1,0,0
open,2901,825,998,1552,1,0,0
open,2921,825,998,1552,1,0,0
open,2941,825,998,1552,1,0,0
open,2961,825,998,1552,1,0,0
open,2982,825,998,1552,1,0,0
open,3002,225,998,1552,1,0,0
open,3023,225,998,1552,1,0,0
open,3043,225,998,1552,1,0,0
open,3064,225,998,1552,1,0,0
open,3084,225,998,1552,1,0,0
open,3105,225,998,1552,1,0,0
open,3125,225,998,1552,1,0,0
open,3145,225,998,1552,1,0,0
open,3165,225,998,1552,1,0,0
open,3185,225,998,1552,1,0,0
open,3206,225,998,1552,1,0,0
open,3226,225,998,1552,1,0,0
open,3247,225,998,1552,1,0,0
open,3267,225,998,1552,1,0,0
open,3287,225,998,1552,1,0,0
open,3307,225,998,1552,1,0,0
open,3327,225,998,1552,1,0,0
open,3347,225,998,1552,1,0,0
open,3367,225,998,1552,1,0,0
open,3387,225,998,1552,1,0,0
open,3407,225,998,1552,1,0,0
open,3427,225,998,1552,1,0,0
open,3447,225,998,1552,1,0,0
open,3467,225,998,1552,1,0,0
open,3487,225,998,1552,1,0,0
open,3507,825,998,1552,1,0,0
open,3527,825,998,1552,1,0,0
open,3547,825,998,1552,1,0,0
open,3568,825,998,1552,1,0,0
open,3588,825,998,1552,1,0,0
open,3608,825,998,1552,1,0,0
open,3628,825,998,1552,1,0,0
open,3649,825,998,1552,1,0,0
open,3669,825,998,1552,1,0,0
open,3690,825,998,1552,1,0,0
open,3710,825,998,1552,1,0,0
open,3731,825,998,1552,1,0,0
open,3751,825,998,1552,1,0,0
open,3771,825,998,1552,1,0,0
open,3791,825,998,1552,1,0,0
open,3812,825,998,1552,1,0,0
open,3832,825,998,1552,1,0,0
open,3852,825,998,1552,1,0,0
open,3872,825,998,1552,1,0,0
open,3893,825,998,1552,1,0,0
open,3913,825,998,1552,1,0,0
open,3934,825,998,1552,1,0,0
open,3954,825,998,1552,1,0,0
open,3975,825,998,1552,1,0,0
open,3995,825,998,1552,1,0,0
open,4016,225,998,1552,1,0,0
open,4036,225,998,1552,1,0,0
open,4056,225,998,1552,1,0,0
open,4076,225,998,1552,1,0,0
open,4097,225,998,1552,1,0,0
open,4117,225,998,1552,1,0,0
open,4138,225,998,1552,1,0,0
open,4158,225,998,1552,1,0,0
open,4178,225,998,1552,1,0,0
open,4198,225,998,1552,1,0,0
open,4219,225,998,1552,1,0,0
open,4239,225,998,1552,1,0,0
open,4260,225,998,1552,1,0,0
open,4280,225,998,1552,1,0,0
open,4301,225,998,1552,1,0,0
open,4321,225,998,1552,1,0,0
open,4341,225,998,1552,1,0,0
open,4361,225,998,1552,1,0,0
open,4382,225,998,1552,1,0,0
open,4402,225,998,1552,1,0,0
open,4423,225,998,1552,1,0,0
open,4443,225,998,1552,1,0,0
open,4463,225,998,1552,1,0,0
open,4483,225,998,1552,1,0,0
open,4504,825,998,1552,1,0,0
open,4524,825,998,1552,1,0,0
open,4544,825,998,1552,1,0,0
open,4564,825,998,1552,1,0,0
open,4584,825,998,1552,1,0,0
open,4604,825,998,1552,1,0,0
open,4625,825,998,1552,1,0,0
open,4645,825,998,1552,1,0,0
open,4665,825,998,1552,1,0,0
open,4685,825,998,1552,1,0,0
open,4706,825,998,1552,1,0,0
open,4726,825,998,1552,1,0,0
open,4746,825,998,1552,1,0,0
open,4766,825,998,1552,1,0,0
open,4787,825,998,1552,1,0,0
open,4807,825,998,1552,1,0,0
open,4828,825,998,1552,1,0,0
open,4848,825,998,1552,1,0,0
open,4868,825,998,1552,1,0,0
open,4888,825,998,1552,1,0,0
open,4909,825,998,1552,1,0,0
open,4929,825,998,1552,1,0,0
open,4949,825,998,1552,1,0,0
open,4969,825,998,1552,1,0,0
open,4989,825,998,1552,1,0,0
