=== PRE_OP, mailbox live: state=0x02 mbx_proto=0x0004 ===
  as found: 0x1C32:01=1 (SM-Synchron)  0x1C32:02=18017000 ns  0x1C33:02=18017000 ns
  counters before  SM-event-missed=0  cycle-exceeded=29507  shift-too-short=0

=== the startup writes nobody has ever sent ===
  write 0x1C32:02 = 1000000    SM2 cycle time ns      wkc=0  REFUSED
      soem: Time:1785991127.739 SDO slave:1 index:1c32.0d error:06010001 Attempt to read to a write only object
      soem: Time:1785991127.743 SDO slave:1 index:1c32.02 error:06010002 Attempt to write to a read only object
  write 0x1C33:02 = 1000000    SM3 cycle time ns      wkc=0  REFUSED
      soem: Time:1785991127.746 SDO slave:1 index:1c33.02 error:06010002 Attempt to write to a read only object

mapped: Obytes=38 Ibytes=152
OP: state=0x08 AL=0x0000 after 80 ms
telemetry: STA=[2 2 2 2 2 2] ANG=[1577 1521 1517 1471 1375 1527] CUR=[0 0 0 0 0 0]
ang_start=1517  swinging 1317 <-> 1650, enable=1, link held 8 s at 1 kHz
end of hold: state=0x08 AL=0x0000

  counters after   SM-event-missed=0  cycle-exceeded=34350  shift-too-short=0
  write 0x1C32:02 = 18017000   SM2 cycle restored     wkc=0  REFUSED
      soem: Time:1785991136.564 SDO slave:1 index:1c32.0d error:06010001 Attempt to read to a write only object
      soem: Time:1785991136.566 SDO slave:1 index:1c32.02 error:06010002 Attempt to write to a read only object
  write 0x1C33:02 = 18017000   SM3 cycle restored     wkc=0  REFUSED
      soem: Time:1785991136.569 SDO slave:1 index:1c33.02 error:06010002 Attempt to write to a read only object

max_dANG=0 (moved > 30)  max_CUR=0 mA
verdict: NOTHING - the cycle time was not what it was waiting for. Check whether the counters above moved.
t_ms,target,angleact,cur,sta
0,1650,1517,0,2
20,1650,1517,0,2
40,1650,1517,0,2
61,1650,1517,0,2
81,1650,1517,0,0
101,1650,1517,0,0
121,1650,1517,0,0
141,1650,1517,0,0
162,1650,1517,0,0
182,1650,1517,0,0
202,1650,1517,0,0
222,1650,1517,0,0
242,1650,1517,0,0
263,1650,1517,0,0
283,1650,1517,0,0
303,1650,1517,0,0
323,1650,1517,0,0
343,1650,1517,0,0
363,1650,1517,0,0
383,1650,1517,0,0
403,1650,1517,0,0
423,1650,1517,0,0
443,1650,1517,0,0
463,1650,1517,0,0
483,1650,1517,0,0
503,1650,1517,0,0
524,1650,1517,0,0
544,1650,1517,0,0
564,1650,1517,0,0
584,1650,1517,0,0
604,1650,1517,0,0
624,1650,1517,0,0
644,1650,1517,0,0
664,1650,1517,0,0
684,1650,1517,0,0
704,1650,1517,0,0
724,1650,1517,0,0
744,1650,1517,0,0
764,1650,1517,0,0
785,1650,1517,0,0
805,1650,1517,0,0
825,1650,1517,0,0
845,1650,1517,0,0
865,1650,1517,0,0
886,1650,1517,0,0
906,1650,1517,0,0
926,1650,1517,0,0
946,1650,1517,0,0
966,1650,1517,0,0
987,1650,1517,0,0
1007,1650,1517,0,0
1027,1650,1517,0,0
1047,1650,1517,0,0
1067,1650,1517,0,0
1088,1650,1517,0,0
1108,1650,1517,0,0
1128,1650,1517,0,0
1148,1650,1517,0,0
1168,1650,1517,0,0
1189,1650,1517,0,0
1209,1650,1517,0,0
1229,1650,1517,0,0
1249,1650,1517,0,0
1269,1650,1517,0,0
1290,1650,1517,0,0
1310,1650,1517,0,0
1330,1650,1517,0,0
1350,1650,1517,0,0
1370,1650,1517,0,0
1390,1650,1517,0,0
1410,1650,1517,0,0
1430,1650,1517,0,0
1451,1650,1517,0,0
1471,1650,1517,0,0
1491,1650,1517,0,0
1511,1650,1517,0,0
1531,1650,1517,0,0
1552,1650,1517,0,0
1573,1650,1517,0,0
1593,1650,1517,0,0
1613,1650,1517,0,0
1634,1650,1517,0,0
1654,1650,1517,0,0
1674,1650,1517,0,0
1694,1650,1517,0,0
1714,1650,1517,0,0
1734,1650,1517,0,0
1754,1650,1517,0,0
1774,1650,1517,0,0
1794,1650,1517,0,0
1814,1650,1517,0,0
1834,1650,1517,0,0
1854,1650,1517,0,0
1874,1650,1517,0,0
1894,1650,1517,0,0
1914,1650,1517,0,0
1934,1650,1517,0,0
1954,1650,1517,0,0
1974,1650,1517,0,0
1994,1650,1517,0,0
2015,1650,1517,0,0
2035,1650,1517,0,0
2055,1650,1517,0,0
2075,1650,1517,0,0
2095,1650,1517,0,0
2115,1650,1517,0,0
2135,1650,1517,0,0
2156,1650,1517,0,0
2176,1650,1517,0,0
2196,1650,1517,0,0
2216,1650,1517,0,0
2236,1650,1517,0,0
2256,1650,1517,0,0
2276,1650,1517,0,0
2296,1650,1517,0,0
2316,1650,1517,0,0
2336,1650,1517,0,0
2356,1650,1517,0,0
2376,1650,1517,0,0
2396,1650,1517,0,0
2416,1650,1517,0,0
2437,1650,1517,0,0
2457,1650,1517,0,0
2477,1650,1517,0,0
2497,1650,1517,0,0
2517,1650,1517,0,0
2537,1650,1517,0,0
2557,1650,1
