t,seen,trust,why,tgt_pinky,tgt_ring,tgt_middle,tgt_index,tgt_thumb_bend,tgt_thumb_rot,curl_pinky,curl_ring,curl_middle,curl_index,thumb_flexion,opposition,ang_pinky,ang_ring,ang_middle,ang_index,ang_thumb_bend,ang_thumb_rot,cur_pinky,cur_ring,cur_middle,cur_index,cur_thumb_bend,cur_thumb_rot,gain_pinky,gain_ring,gain_middle,gain_index,gain_thumb_bend,gain_thumb_rot,sent_pinky,sent_ring,sent_middle,sent_index,sent_thumb_bend,sent_thumb_rot,sent,mode,applying
1786105425.885712,0,1,,,,,,,,,,,,,,1342,1399,1466,1364,1375,1371,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,,,,,,,0,on,1
1786105425.910842,0,1,,,,,,,,,,,,,,1343,1399,1466,1364,1375,1371,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,,,,,,,0,on,1
1786105425.936340,0,1,,,,,,,,,,,,,,1343,1399,1466,1364,1375,1371,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,,,,,,,0,on,1
1786105425.967605,0,1,,,,,,,,,,,,,,1343,1399,1466,1364,1375,1371,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,,,,,,,0,on,1
1786105426.002984,0,1,,,,,,,,,,,,,,1342,1399,1466,1364,1375,1371,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,,,,,,,0,on,1
1786105426.034991,0,1,,,,,,,,,,,,,,1343,1399,1466,1364,1375,1371,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,,,,,,,0,on,1
1786105426.072198,0,1,,,,,,,,,,,,,,1342,1399,1466,1364,1375,1371,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,,,,,,,0,on,1
1786105426.103077,0,1,,,,,,,,,,,,,,1342,1399,1466,1364,1375,1371,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,,,,,,,0,on,1
1786105426.135055,0,1,,,,,,,,,,,,,,1342,1399,1466,1364,1375,1371,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,,,,,,,0,on,1
1786105426.167008,0,1,,,,,,,,,,,,,,1342,1399,1466,1364,1375,1371,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,,,,,,,0,on,1
1786105426.202928,0,1,,,,,,,,,,,,,,1343,1399,1466,1364,1375,1371,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,,,,,,,0,on,1
1786105426.234891,0,1,,,,,,,,,,,,,,1343,1399,1466,1364,1375,1371,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,,,,,,,0,on,1
1786105426.266944,0,1,,,,,,,,,,,,,,1343,1399,1466,1364,1375,1371,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,,,,,,,0,on,1
1786105426.302956,0,1,,,,,,,,,,,,,,1342,1399,1466,1364,1375,1371,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,,,,,,,0,on,1
1786105426.335037,0,1,,,,,,,,,,,,,,1343,1399,1466,1364,1375,1371,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,,,,,,,0,on,1
1786105426.366930,0,1,,,,,,,,,,,,,,1342,1399,1466,1364,1375,1371,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,,,,,,,0,on,1
1786105426.402845,0,1,,,,,,,,,,,,,,1343,1399,1466,1364,1375,1371,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,,,,,,,0,on,1
1786105426.444922,1,1,,1551.0000,1526.0000,1556.0000,1641.0000,1635.0000,1702.0000,69.120,74.129,68.224,51.275,33.429,20.375,1342,1399,1466,1364,1375,1371,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,1551.0000,1526.0000,1556.0000,1641.0000,1635.0000,1702.0000,0,on,1
1786105426.468036,1,1,,1639.0000,1566.0000,1582.0000,1671.0000,1675.0000,1799.0000,51.618,66.201,63.069,45.185,29.478,-0.780,1342,1399,1466,1364,1375,1371,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,1559.6384,1526.0000,1556.0000,1641.0000,1635.0000,1712.3339,0,on,1
1786105426.498585,1,1,,1671.0000,1549.0000,1574.0000,1642.0000,1706.0000,1740.0000,45.068,69.593,64.516,50.878,26.405,12.163,1343,1399,1466,1364,1375,1371,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,1581.0103,1526.0000,1556.0000,1641.0000,1635.0000,1712.3339,0,on,1
1786105426.530682,1,1,,1707.0000,1627.0000,1625.0000,1667.0000,1749.0000,1754.0000,38.021,53.985,54.296,46.053,22.190,9.155,1342,1399,1466,1364,1375,1371,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,1611.5062,1544.5853,1565.6038,1641.0000,1664.7905,1720.1046,0,on,1
1786105426.562675,1,1,,1732.0000,1671.0000,1695.0000,1691.0000,1694.0000,1763.0000,32.906,45.174,40.399,41.091,27.637,7.121,1343,1399,1466,1364,1375,1371,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,1642.7214,1572.4654,1592.1400,1641.0000,1664.7905,1720.1046,0,on,1
1786105426.600111,1,1,,1734.0000,1687.0000,1714.0000,1705.0000,1651.0000,1785.0000,32.613,41.904,36.503,38.357,31.824,2.324,1343,1399,1466,1364,1375,1371,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,1666.6606,1602.2042,1623.5200,1655.7017,1664.7905,1734.4530,0,on,1
1786105426.631399,1,0,handedness unsure,1719.0000,1707.0000,1745.0000,1716.0000,1589.0000,1781.0000,35.499,37.869,30.434,36.237,37.957,3.273,1342,1399,1466,1364,1375,1371,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,1676.8940,1627.2067,1653.9760,1664.0302,1664.7905,1734.4530,0,on,1
1786105426.662652,1,0,handedness unsure,1746.0000,1719.0000,1747.0000,1704.0000,1628.0000,1751.0000,30.178,35.470,29.987,38.458,34.159,9.757,1343,1399,1466,1364,1375,1371,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,1690.0798,1648.7402,1676.5312,1664.0302,1664.7905,1734.4530,0,on,1
1786105426.700597,1,1,,1698.0000,1706.0000,1738.0000,1719.0000,1608.0000,1752.0000,39.764,38.059,31.828,35.626,36.160,9.574,1342,1399,1466,1364,1375,1371,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,1690.0798,1661.4084,1690.6797,1676.6300,1664.7905,1734.4530,0,on,1
1786105426.730734,1,1,,1711.0000,1701.0000,1714.0000,1726.0000,1601.0000,1731.0000,37.131,39.234,36.576,34.211,36.828,14.030,1342,1399,1466,1364,1375,1371,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,1690.0798,1661.4084,1690.6797,1676.6300,1664.7905,1734.4530,0,on,1
1786105426.762659,1,1,,1630.0000,1724.0000,1688.0000,1764.0000,1542.0000,1734.0000,53.288,34.448,41.755,26.471,42.626,13.399,1343,1399,1466,1364,1375,1371,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,1690.0798,1676.7280,1690.6797,1696.8807,1635.2431,1734.4530,0,on,1
1786105426.798808,1,1,,1614.0000,1714.0000,1699.0000,1800.0000,1557.0000,1702.0000,56.513,36.650,39.583,19.298,41.139,20.443,1342,1399,1466,1364,1375,1371,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,1680.8628,1676.7280,1690.6797,1719.5462,1618.9798,1734.4530,0,on,1
1786105426.830755,1,1,,1664.0000,1703.0000,1696.0000,1771.0000,1558.0000,1712.0000,46.524,38.682,40.233,25.079,41.018,18.223,1343,1399,1466,1364,1375,1371,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,1680.8628,1684.5014,1690.6797,1728.6354,1618.9798,1734.4530,0,on,1
