t,seen,trust,why,tgt_pinky,tgt_ring,tgt_middle,tgt_index,tgt_thumb_bend,tgt_thumb_rot,curl_pinky,curl_ring,curl_middle,curl_index,thumb_flexion,opposition,ang_pinky,ang_ring,ang_middle,ang_index,ang_thumb_bend,ang_thumb_rot,cur_pinky,cur_ring,cur_middle,cur_index,cur_thumb_bend,cur_thumb_rot,gain_pinky,gain_ring,gain_middle,gain_index,gain_thumb_bend,gain_thumb_rot,sent_pinky,sent_ring,sent_middle,sent_index,sent_thumb_bend,sent_thumb_rot,sent,mode,applying
1786105521.292485,1,0,hand looks flipped,1352.0000,1611.0000,1587.0000,1376.0000,1796.0000,1237.0000,109.126,57.110,62.022,104.191,17.449,121.620,1449,1381,1347,1367,1375,1512,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,,,,,,,0,on,1
1786105521.309807,1,1,,1666.0000,1742.0000,1605.0000,1568.0000,1844.0000,1373.0000,46.261,31.012,58.423,65.852,12.731,92.122,1449,1381,1346,1367,1375,1512,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,1425.3208,1626.0982,1587.3977,1406.4371,1844.0000,1373.0000,0,on,1
1786105521.324246,1,0,handedness unsure,1632.0000,1732.0000,1616.0000,1593.0000,1850.0000,1393.0000,52.957,32.940,56.226,60.838,10.142,87.637,1449,1381,1346,1367,1375,1512,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,1480.0764,1641.4443,1587.3977,1446.3874,1844.0000,1373.0000,0,on,1
1786105521.344650,1,0,handedness unsure,1613.0000,1687.0000,1568.0000,1573.0000,1800.0000,1380.0000,56.803,41.965,65.872,64.797,17.116,90.519,1449,1381,1346,1367,1375,1512,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,1523.2112,1649.3193,1587.3977,1482.0131,1844.0000,1373.0000,0,on,1
1786105521.368789,1,0,handedness unsure,1621.0000,1692.0000,1559.0000,1567.0000,1803.0000,1377.0000,55.256,40.990,67.570,66.094,16.816,91.130,1449,1381,1346,1367,1375,1512,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,1554.5939,1649.3193,1587.3977,1505.9452,1844.0000,1373.0000,0,on,1
1786105521.396771,1,0,handedness unsure,1623.0000,1685.0000,1564.0000,1569.0000,1830.0000,1401.0000,54.817,42.389,66.505,65.569,14.124,85.872,1449,1381,1346,1367,1375,1512,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,1574.6225,1661.0059,1587.3977,1522.3688,1844.0000,1373.0000,0,on,1
1786105521.432756,1,0,edge-on,1602.0000,1672.0000,1559.0000,1564.0000,1824.0000,1405.0000,59.011,45.026,67.622,66.560,14.720,85.194,1449,1381,1347,1367,1375,1512,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,1574.6225,1661.0059,1587.3977,1532.1063,1844.0000,1373.0000,0,on,1
1786105521.464610,1,0,edge-on,1620.0000,1659.0000,1553.0000,1556.0000,1749.0000,1427.0000,55.315,47.536,68.762,68.267,22.149,80.314,1449,1381,1347,1367,1375,1512,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,1588.2831,1661.0059,1587.3977,1532.1063,1844.0000,1373.0000,0,on,1
1786105521.496648,1,0,edge-on,1636.0000,1672.0000,1550.0000,1549.0000,1756.0000,1399.0000,52.176,44.977,69.341,69.606,21.422,86.445,1449,1381,1346,1367,1375,1512,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,1596.0074,1661.0059,1578.5147,1532.1063,1844.0000,1373.0000,0,on,1
1786105521.532781,1,0,edge-on,1632.0000,1664.0000,1551.0000,1543.0000,1759.0000,1401.0000,53.056,46.641,69.128,70.769,21.195,85.987,1449,1381,1346,1367,1375,1512,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,1596.0074,1661.0059,1578.5147,1532.1063,1844.0000,1373.0000,0,on,1
1786105521.564704,1,0,edge-on,1641.0000,1654.0000,1540.0000,1519.0000,1802.0000,1403.0000,51.164,48.561,71.343,75.693,16.933,85.527,1449,1381,1346,1367,1375,1512,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,1606.3481,1661.0059,1578.5147,1532.1063,1844.0000,1373.0000,0,on,1
1786105521.596607,1,0,edge-on,1644.0000,1678.0000,1549.0000,1495.0000,1780.0000,1385.0000,50.494,43.682,69.543,80.359,19.084,89.361,1449,1381,1346,1367,1375,1512,0,0,0,0,0,0,4.9908,4.9908,4.9908,4.9908,10.0990,4.5916,1606.3481,1661.0059,1570.4200,1532.1063,1844.0000,1373.0000,0,on,1
