t,seen,trust,why,tgt_pinky,tgt_ring,tgt_middle,tgt_index,tgt_thumb_bend,tgt_thumb_rot,curl_pinky,curl_ring,curl_middle,curl_index,thumb_flexion,opposition,ang_pinky,ang_ring,ang_middle,ang_index,ang_thumb_bend,ang_thumb_rot,cur_pinky,cur_ring,cur_middle,cur_index,cur_thumb_bend,cur_thumb_rot,sta_pinky,sta_ring,sta_middle,sta_index,sta_thumb_bend,sta_thumb_rot,gain_pinky,gain_ring,gain_middle,gain_index,gain_thumb_bend,gain_thumb_rot,sent_pinky,sent_ring,sent_middle,sent_index,sent_thumb_bend,sent_thumb_rot,sent,mode,applying
1786107037.101286,1,1,,1184.0000,1551.0000,1434.0000,1363.0000,1253.0000,1251.0000,142.748,69.205,92.656,106.972,53.830,118.599,1177,1240,1186,1248,1196,1467,0,0,0,0,0,0,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,4.5916,1184.0000,1551.0000,1434.0000,1363.0000,1253.0000,1251.0000,0,on,1
1786107037.116537,1,1,,1654.0000,1744.0000,1589.0000,1507.0000,1325.0000,1394.0000,48.567,30.572,61.562,77.948,29.177,87.592,1177,1240,1186,1248,1196,1467,0,0,0,0,0,0,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,4.5916,1321.5926,1579.4363,1453.0016,1379.5826,1257.5506,1267.3699,0,on,1
1786107037.138432,1,0,edge-on,1634.0000,1755.0000,1586.0000,1560.0000,1347.0000,1396.0000,52.537,28.360,62.118,67.407,21.572,87.025,1177,1240,1186,1248,1196,1467,0,0,0,0,0,0,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,4.5916,1453.8477,1625.7413,1482.1061,1423.7482,1257.5506,1267.3699,0,on,1
1786107037.161629,1,0,handedness unsure,1662.0000,1760.0000,1587.0000,1565.0000,1351.0000,1401.0000,47.033,27.377,61.918,66.417,20.217,85.978,1177,1240,1186,1248,1196,1467,0,0,0,0,0,0,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,4.5916,1542.0188,1663.9495,1507.0227,1462.8707,1257.5506,1267.3699,0,on,1
1786107037.185531,1,0,handedness unsure,1646.0000,1754.0000,1592.0000,1585.0000,1342.0000,1367.0000,50.221,28.451,61.094,62.424,23.226,93.483,1177,1240,1186,1248,1196,1467,0,0,0,0,0,0,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,4.5916,1580.9478,1688.0304,1526.8101,1497.3500,1257.5506,1267.3699,0,on,1
1786107037.217312,1,0,handedness unsure,1639.0000,1743.0000,1583.0000,1586.0000,1338.0000,1330.0000,51.586,30.644,62.742,62.198,24.593,101.417,1177,1240,1186,1248,1196,1467,0,0,0,0,0,0,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,4.5916,1601.0027,1702.3109,1540.0153,1523.5221,1257.5506,1267.3699,0,on,1
1786107037.254304,1,0,handedness unsure,1651.0000,1747.0000,1584.0000,1559.0000,1353.0000,1300.0000,49.218,30.032,62.636,67.640,19.738,108.043,1177,1240,1186,1248,1196,1467,0,0,0,0,0,0,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,4.5916,1615.2780,1712.2205,1549.0213,1531.9582,1257.5506,1267.3699,0,on,1
1786107037.285047,1,0,handedness unsure,1639.0000,1751.0000,1592.0000,1577.0000,1352.0000,1319.0000,51.614,29.049,60.940,63.936,20.107,103.877,1177,1240,1186,1248,1196,1467,0,0,0,0,0,0,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,4.5916,1615.2780,1712.2205,1549.0213,1539.8413,1257.5506,1267.3699,0,on,1
1786107037.322539,1,0,handedness unsure,1632.0000,1756.0000,1586.0000,1574.0000,1355.0000,1336.0000,52.926,28.075,62.284,64.666,18.928,100.036,1177,1240,1186,1248,1196,1467,0,0,0,0,0,0,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,4.5916,1615.2780,1724.2428,1560.0369,1539.8413,1257.5506,1267.3699,0,on,1
1786107037.349555,1,0,handedness unsure,1642.0000,1754.0000,1577.0000,1583.0000,1351.0000,1312.0000,51.012,28.555,64.077,62.752,20.231,105.463,1177,1240,1186,1248,1196,1467,0,0,0,0,0,0,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,4.5916,1623.2603,1724.2428,1560.0369,1549.7501,1257.5506,1267.3699,0,on,1
1786107037.385147,1,0,handedness unsure,1619.0000,1743.0000,1592.0000,1585.0000,1350.0000,1329.0000,55.622,30.707,61.019,62.368,20.577,101.625,1177,1240,1186,1248,1196,1467,0,0,0,0,0,0,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,4.5916,1623.2603,1724.2428,1560.0369,1549.7501,1257.5506,1267.3699,0,on,1
1786107037.417213,1,0,handedness unsure,1630.0000,1740.0000,1595.0000,1607.0000,1336.0000,1306.0000,53.450,31.299,60.344,57.991,25.483,106.606,1177,1240,1186,1248,1196,1467,0,0,0,0,0,0,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,4.5916,1623.2603,1724.2428,1567.6353,1561.3504,1257.5506,1267.3699,0,on,1
1786107037.449168,1,0,handedness unsure,1624.0000,1732.0000,1591.0000,1610.0000,1318.0000,1290.0000,54.524,32.952,61.156,57.474,31.502,110.193,1177,1240,1186,1248,1196,1467,0,0,0,0,0,0,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,4.5916,1623.2603,1724.2428,1567.6353,1561.3504,1257.5506,1267.3699,0,on,1
1786107037.485578,1,0,handedness unsure,1624.0000,1729.0000,1582.0000,1567.0000,1338.0000,1304.0000,54.516,33.641,63.074,65.908,24.624,107.058,1177,1240,1186,1248,1196,1467,0,0,0,0,0,0,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,4.5916,1623.2603,1724.2428,1567.6353,1561.3504,1257.5506,1267.3699,0,on,1
1786107037.517531,1,0,handedness unsure,1613.0000,1712.0000,1594.0000,1574.0000,1335.0000,1286.0000,56.712,36.880,60.593,64.550,25.902,110.991,1177,1240,1186,1248,1196,1467,0,0,0,0,0,0,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,4.5916,1623.2603,1724.2428,1567.6353,1561.3504,1257.5506,1267.3699,0,on,1
1786107037.549153,1,1,,1621.0000,1734.0000,1578.0000,1557.0000,1334.0000,1316.0000,55.241,32.568,63.795,68.015,26.110,104.385,1177,1240,1186,1248,1196,1467,0,0,0,0,0,0,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,4.5916,1623.2603,1724.2428,1567.6353,1561.3504,1269.6864,1276.1849,0,on,1
1786107037.585100,1,1,,1651.0000,1724.0000,1553.0000,1539.0000,1332.0000,1280.0000,49.113,34.473,68.768,71.607,26.682,112.304,1177,1240,1186,1248,1196,1467,0,0,0,0,0,0,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,4.5916,1623.2603,1724.2428,1567.6353,1561.3504,1280.5424,1276.1849,0,on,1
1786107037.617486,1,1,,1653.0000,1716.0000,1539.0000,1564.0000,1343.0000,1314.0000,48.726,36.131,71.611,66.530,22.870,104.993,1177,1240,1186,1248,1196,1467,0,0,0,0,0,0,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,4.5916,1623.2603,1724.2428,1567.6353,1561.3504,1290.8386,1276.1849,0,on,1
