t,seen,trust,why,tgt_pinky,tgt_ring,tgt_middle,tgt_index,tgt_thumb_bend,tgt_thumb_rot,curl_pinky,curl_ring,curl_middle,curl_index,thumb_flexion,opposition,ang_pinky,ang_ring,ang_middle,ang_index,ang_thumb_bend,ang_thumb_rot,cur_pinky,cur_ring,cur_middle,cur_index,cur_thumb_bend,cur_thumb_rot,sta_pinky,sta_ring,sta_middle,sta_index,sta_thumb_bend,sta_thumb_rot,gain_pinky,gain_ring,gain_middle,gain_index,gain_thumb_bend,gain_thumb_rot,sent_pinky,sent_ring,sent_middle,sent_index,sent_thumb_bend,sent_thumb_rot,sent,mode,applying
1786107514.849116,1,0,handedness unsure,1387.0000,1478.0000,1499.0000,1490.0000,1246.0000,1276.0000,102.156,83.838,79.719,81.452,56.524,113.161,1630,1757,1746,1739,1267,1693,0,0,0,0,0,0,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,4.5916,,,,,,,0,on,1
1786107514.868637,1,1,,1635.0000,1728.0000,1531.0000,1447.0000,1240.0000,1476.0000,52.390,33.713,73.271,90.062,58.508,69.564,1630,1757,1746,1739,1267,1693,0,0,0,0,0,0,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,4.5916,1438.5746,1530.3143,1500.2077,1487.9292,1240.0000,1476.0000,0,on,1
1786107514.887664,1,1,,1628.0000,1758.0000,1586.0000,1482.0000,1239.0000,1487.0000,53.703,27.777,62.226,82.997,58.714,67.204,1630,1757,1746,1739,1267,1693,0,0,0,0,0,0,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,4.5916,1489.4887,1596.2718,1509.0553,1487.9292,1240.0000,1476.0000,0,on,1
1786107514.919667,1,1,,1638.0000,1728.0000,1584.0000,1487.0000,1247.0000,1480.0000,51.713,33.751,62.597,82.047,56.194,68.851,1630,1757,1746,1739,1267,1693,0,0,0,0,0,0,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,4.5916,1542.5020,1644.0507,1522.3998,1487.9292,1240.0000,1476.0000,0,on,1
1786107514.955721,1,1,,1629.0000,1743.0000,1577.0000,1447.0000,1243.0000,1493.0000,53.609,30.693,63.967,89.995,57.425,65.946,1630,1757,1746,1739,1267,1693,0,0,0,0,0,0,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,4.5916,1569.8622,1676.5701,1532.0600,1487.9292,1240.0000,1476.0000,0,on,1
1786107514.987318,1,1,,1648.0000,1756.0000,1556.0000,1500.0000,1271.0000,1503.0000,49.864,28.085,68.255,79.414,47.785,63.706,1630,1757,1746,1739,1267,1693,0,0,0,0,0,0,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,4.5916,1589.6467,1697.3357,1532.0600,1487.9292,1240.0000,1476.0000,0,on,1
1786107515.022025,1,1,,1640.0000,1769.0000,1573.0000,1524.0000,1283.0000,1477.0000,51.425,25.533,64.901,74.628,43.513,69.491,1630,1757,1746,1739,1267,1693,0,0,0,0,0,0,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,4.5916,1600.5903,1714.6114,1539.8361,1487.9292,1245.5622,1476.0000,0,on,1
1786107515.055614,1,1,,1653.0000,1740.0000,1598.0000,1536.0000,1289.0000,1497.0000,48.778,31.297,59.762,72.223,41.617,65.052,1630,1757,1746,1739,1267,1693,0,0,0,0,0,0,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,4.5916,1610.2487,1714.6114,1548.0404,1487.9292,1250.1902,1476.0000,0,on,1
1786107515.087360,1,1,,1662.0000,1758.0000,1570.0000,1511.0000,1287.0000,1490.0000,46.991,27.731,65.330,77.186,42.127,66.641,1630,1757,1746,1739,1267,1693,0,0,0,0,0,0,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,4.5916,1618.7061,1724.6007,1548.0404,1487.9292,1250.1902,1476.0000,0,on,1
1786107515.124792,1,1,,1677.0000,1775.0000,1590.0000,1547.0000,1314.0000,1468.0000,43.900,24.316,61.310,70.051,33.001,71.480,1630,1757,1746,1739,1267,1693,0,0,0,0,0,0,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,4.5916,1628.9485,1732.4557,1548.0404,1499.7550,1262.7448,1476.0000,0,on,1
1786107515.155293,1,1,,1663.0000,1778.0000,1551.0000,1521.0000,1302.0000,1496.0000,46.717,23.706,69.294,75.229,37.045,65.301,1630,1757,1746,1739,1267,1693,0,0,0,0,0,0,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,4.5916,1628.9485,1732.4557,1548.0404,1499.7550,1267.4314,1476.0000,0,on,1
1786107515.187644,1,1,,1684.0000,1766.0000,1559.0000,1516.0000,1330.0000,1473.0000,42.535,26.108,67.671,76.287,27.553,70.196,1630,1757,1746,1739,1267,1693,0,0,0,0,0,0,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,4.5916,1640.4589,1741.6568,1548.0404,1499.7550,1276.6146,1476.0000,0,on,1
