t,seen,trust,why,tgt_pinky,tgt_ring,tgt_middle,tgt_index,tgt_thumb_bend,tgt_thumb_rot,curl_pinky,curl_ring,curl_middle,curl_index,thumb_flexion,opposition,ang_pinky,ang_ring,ang_middle,ang_index,ang_thumb_bend,ang_thumb_rot,cur_pinky,cur_ring,cur_middle,cur_index,cur_thumb_bend,cur_thumb_rot,sta_pinky,sta_ring,sta_middle,sta_index,sta_thumb_bend,sta_thumb_rot,gain_pinky,gain_ring,gain_middle,gain_index,gain_thumb_bend,gain_thumb_rot,sent_pinky,sent_ring,sent_middle,sent_index,sent_thumb_bend,sent_thumb_rot,sent,mode,applying,deg
1786347118.266271,1,1,,1700.0000,1736.0000,1616.0000,1721.0000,1310.0000,1104.0000,39.436,32.117,56.090,35.234,34.302,93.898,1804,1786,1789,1782,1375,1843,0,0,0,0,0,0,1,0,1,1,1,0,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,1700.0000,1736.0000,1616.0000,1721.0000,1310.0000,1104.0000,1,on,1,1.5000
1786347118.294225,1,1,,1671.0000,1718.0000,1613.0000,1753.0000,1309.0000,1108.0000,45.220,35.755,56.740,28.695,34.834,93.224,1804,1786,1789,1782,1375,1843,0,0,0,0,0,0,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,1700.0000,1736.0000,1616.0000,1721.0000,1310.0000,1104.0000,0,on,1,1.5000
1786347118.322908,1,1,,1674.0000,1733.0000,1619.0000,1742.0000,1308.0000,1115.0000,44.577,32.685,55.485,30.857,35.121,92.247,1804,1786,1789,1782,1375,1843,36,40,40,39,0,41,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,1700.0000,1736.0000,1616.0000,1721.0000,1310.0000,1104.0000,0,on,1,1.5000
1786347118.341591,1,1,,1669.0000,1729.0000,1623.0000,1749.0000,1309.0000,1106.0000,45.528,33.565,54.816,29.584,34.873,93.562,1804,1786,1789,1782,1375,1843,81,95,77,118,20,110,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,1700.0000,1736.0000,1616.0000,1721.0000,1310.0000,1104.0000,0,on,1,1.5000
1786347118.374066,1,1,,1672.0000,1721.0000,1620.0000,1756.0000,1307.0000,1106.0000,45.016,35.201,55.428,28.126,35.265,93.606,1789,1767,1771,1760,1374,1822,143,70,112,89,100,114,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,1700.0000,1736.0000,1616.0000,1721.0000,1310.0000,1104.0000,0,on,1,1.5000
1786347118.406089,1,1,,1671.0000,1714.0000,1617.0000,1760.0000,1311.0000,1093.0000,45.123,36.487,55.888,27.433,33.891,95.337,1770,1757,1750,1746,1371,1798,125,0,108,29,74,86,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,1691.8106,1736.0000,1616.0000,1730.7819,1310.0000,1104.0000,1,on,1,1.5000
1786347118.442054,1,1,,1664.0000,1703.0000,1625.0000,1767.0000,1316.0000,1084.0000,46.506,38.764,54.426,26.018,32.222,96.661,1740,1751,1726,1735,1366,1762,123,39,107,0,71,76,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,1691.8106,1736.0000,1616.0000,1730.7819,1310.0000,1104.0000,0,on,1,1.5000
1786347118.474086,1,1,,1640.0000,1692.0000,1627.0000,1773.0000,1319.0000,1088.0000,51.442,40.920,53.985,24.810,31.228,96.106,1713,1746,1698,1735,1361,1729,103,24,79,9,60,71,1,1,1,1,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,1683.9469,1727.5556,1616.0000,1738.7253,1310.0000,1104.0000,1,on,1,1.5000
1786347118.506079,1,1,,1630.0000,1664.0000,1630.0000,1764.0000,1320.0000,1094.0000,53.437,46.639,53.475,26.502,30.998,95.267,1704,1744,1674,1735,1357,1698,15,22,81,12,59,68,1,1,1,0,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,1683.9469,1719.2914,1616.0000,1738.7253,1310.0000,1104.0000,1,on,1,1.5000
1786347118.541822,1,1,,1618.0000,1666.0000,1628.0000,1769.0000,1316.0000,1123.0000,55.748,46.201,53.871,25.522,32.486,91.140,1696,1740,1653,1736,1353,1673,50,35,82,13,58,83,1,1,1,0,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,1668.0074,1711.4508,1616.0000,1738.7253,1310.0000,1104.0000,1,on,1,1.5000
