t,seen,trust,why,tgt_pinky,tgt_ring,tgt_middle,tgt_index,tgt_thumb_bend,tgt_thumb_rot,curl_pinky,curl_ring,curl_middle,curl_index,thumb_flexion,opposition,ang_pinky,ang_ring,ang_middle,ang_index,ang_thumb_bend,ang_thumb_rot,cur_pinky,cur_ring,cur_middle,cur_index,cur_thumb_bend,cur_thumb_rot,sta_pinky,sta_ring,sta_middle,sta_index,sta_thumb_bend,sta_thumb_rot,gain_pinky,gain_ring,gain_middle,gain_index,gain_thumb_bend,gain_thumb_rot,sent_pinky,sent_ring,sent_middle,sent_index,sent_thumb_bend,sent_thumb_rot,sent,mode,applying,deg
1786353606.850286,0,1,,,,,,,,,,,,,,1648,1607,1604,1572,1251,1521,0,0,0,0,0,0,2,1,1,2,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,,,,,,,0,on,1,1.5000
1786353606.873029,0,1,,,,,,,,,,,,,,1648,1607,1604,1572,1251,1521,0,0,0,0,0,0,2,1,1,2,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,,,,,,,0,on,1,1.5000
1786353606.898961,0,1,,,,,,,,,,,,,,1648,1607,1604,1572,1251,1521,0,0,0,0,0,0,2,1,1,2,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,,,,,,,0,on,1,1.5000
1786353606.920231,0,1,,,,,,,,,,,,,,1648,1607,1604,1572,1251,1521,0,0,0,0,0,0,2,1,1,2,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,,,,,,,0,on,1,1.5000
1786353606.952223,0,1,,,,,,,,,,,,,,1648,1607,1604,1572,1251,1521,0,0,0,0,0,0,2,1,1,2,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,,,,,,,0,on,1,1.5000
1786353606.988152,0,1,,,,,,,,,,,,,,1648,1607,1604,1572,1251,1521,0,0,0,0,0,0,2,1,1,2,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,,,,,,,0,on,1,1.5000
1786353607.019659,0,1,,,,,,,,,,,,,,1648,1607,1604,1572,1251,1521,0,0,0,0,0,0,2,1,1,2,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,,,,,,,0,on,1,1.5000
1786353607.053028,0,1,,,,,,,,,,,,,,1648,1607,1604,1572,1251,1521,0,0,0,0,0,0,2,1,1,2,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,,,,,,,0,on,1,1.5000
1786353607.088177,0,1,,,,,,,,,,,,,,1648,1607,1604,1572,1251,1521,0,0,0,0,0,0,2,1,1,2,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,,,,,,,0,on,1,1.5000
1786353607.120311,0,1,,,,,,,,,,,,,,1648,1607,1604,1572,1251,1521,0,0,0,0,0,0,2,2,2,2,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,,,,,,,0,on,1,1.5000
1786353607.152049,0,1,,,,,,,,,,,,,,1648,1607,1604,1572,1251,1521,0,0,0,0,0,0,2,2,2,2,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,,,,,,,0,on,1,1.5000
1786353607.190374,0,1,,,,,,,,,,,,,,1648,1607,1604,1572,1251,1521,0,0,0,0,0,0,2,2,2,2,1,1,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,,,,,,,0,on,1,1.5000
1786353607.222292,0,1,,,,,,,,,,,,,,1648,1607,1604,1572,1251,1521,0,0,0,0,0,0,2,2,2,2,1,2,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,,,,,,,0,on,1,1.5000
1786353607.257198,1,1,,1324.0000,1282.0000,1255.0000,1294.0000,1289.0000,1374.0000,114.627,123.115,128.612,120.692,41.631,55.596,1648,1607,1604,1572,1251,1521,0,0,0,0,0,0,2,2,2,2,1,2,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,1324.0000,1282.0000,1255.0000,1294.0000,1289.0000,1374.0000,0,on,1,1.5000
1786353607.286906,0,1,,,,,,,,,,,,,,1648,1607,1604,1572,1251,1521,0,0,0,0,0,0,2,2,2,2,1,2,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,,,,,,,0,on,1,1.5000
1786353607.327845,1,1,,1387.0000,1395.0000,1515.0000,1419.0000,1313.0000,1589.0000,102.034,100.544,76.486,95.669,33.247,25.135,1648,1607,1604,1572,1251,1521,0,0,0,0,0,0,2,2,2,2,1,2,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,1331.9404,1304.0334,1345.1023,1320.2430,1289.0000,1439.9153,0,on,1,1.5000
1786353607.347493,1,0,handedness unsure,1577.0000,1554.0000,1629.0000,1392.0000,1312.0000,1571.0000,63.961,68.666,53.621,101.001,33.761,27.761,1648,1607,1604,1572,1251,1521,0,0,0,0,0,0,2,2,2,2,1,2,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,1386.3336,1363.1720,1426.5864,1328.4712,1289.0000,1439.9153,0,on,1,1.5000
1786353607.383339,1,0,hand looks flipped,1444.0000,1417.0000,1590.0000,1390.0000,1318.0000,1846.0000,90.715,96.104,61.486,101.498,31.552,-11.152,1648,1607,1604,1572,1251,1521,0,0,0,0,8,0,2,2,2,2,1,2,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,1401.7534,1378.0765,1490.0532,1339.6184,1289.0000,1439.9153,0,on,1,1.5000
1786353607.415342,1,0,hand looks flipped,1676.0000,1713.0000,1620.0000,1684.0000,1341.0000,1850.0000,44.095,36.801,55.297,42.480,23.720,-53.205,1648,1607,1604,1572,1251,1521,0,0,0,0,20,0,2,2,2,2,1,2,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,1501.2264,1511.6022,1533.4076,1468.2557,1289.0000,1439.9153,0,on,1,1.5000
1786353607.447836,1,0,hand looks flipped,1706.0000,1699.0000,1686.0000,1625.0000,1292.0000,1850.0000,38.218,39.562,42.166,54.417,40.604,-41.226,1648,1607,1604,1572,1251,1521,0,0,0,0,15,0,2,2,2,2,1,2,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,1578.9599,1584.7185,1584.2659,1524.4711,1289.0000,1439.9153,0,on,1,1.5000
1786353607.483940,1,0,handedness unsure,1660.0000,1757.0000,1587.0000,1626.0000,1322.0000,1656.0000,47.311,27.852,62.019,54.087,30.207,15.690,1648,1607,1604,1572,1251,1521,0,0,0,0,0,0,2,2,2,2,1,2,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,1605.3523,1651.6662,1584.2659,1557.5328,1289.0000,1439.9153,0,on,1,1.5000
1786353607.515308,1,0,handedness unsure,1697.0000,1742.0000,1629.0000,1651.0000,1316.0000,1633.0000,39.975,30.868,53.594,49.117,32.313,18.897,1648,1607,1604,1572,1251,1521,0,0,0,0,0,0,2,2,2,2,1,2,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,1629.9028,1679.1906,1592.5973,1582.6950,1289.0000,1439.9153,0,on,1,1.5000
1786353607.547335,1,1,,1679.0000,1686.0000,1651.0000,1715.0000,1322.0000,1537.0000,43.553,42.238,49.227,36.377,30.258,32.584,1648,1607,1604,1572,1251,1521,0,0,0,0,0,0,2,2,2,2,1,2,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,1640.6503,1679.1906,1602.5714,1620.3770,1289.0000,1459.9102,0,on,1,1.5000
1786353607.583902,1,1,,1695.0000,1709.0000,1717.0000,1733.0000,1337.0000,1631.0000,40.376,37.589,35.917,32.705,25.128,19.182,1648,1607,1604,1572,1251,1521,0,0,0,0,0,0,2,2,2,2,1,2,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,1651.6594,1679.1906,1628.9915,1653.2321,1296.9846,1510.2787,0,on,1,1.5000
1786353607.615335,1,1,,1665.0000,1683.0000,1699.0000,1724.0000,1307.0000,1550.0000,46.356,42.802,39.516,34.614,35.429,30.707,1648,1607,1604,1572,1251,1521,0,0,0,0,0,0,2,2,2,2,1,2,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,1651.6594,1679.1906,1642.7946,1669.5744,1296.9846,1510.2787,0,on,1,1.5000
1786353607.647868,1,1,,1700.0000,1680.0000,1699.0000,1686.0000,1322.0000,1566.0000,39.412,43.433,39.619,42.173,30.246,28.365,1648,1607,1604,1572,1251,1521,0,0,0,0,0,0,2,2,2,2,1,2,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,1659.5380,1679.1906,1653.0758,1669.5744,1296.9846,1527.0315,0,on,1,1.5000
1786353607.683880,1,1,,1702.0000,1664.0000,1695.0000,1689.0000,1319.0000,1556.0000,38.988,46.517,40.449,41.638,31.324,29.835,1648,1607,1604,1572,1251,1521,0,0,0,0,0,0,2,2,2,2,1,2,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,1659.5380,1679.1906,1653.0758,1669.5744,1296.9846,1527.0315,0,on,1,1.5000
1786353607.715410,1,1,,1700.0000,1675.0000,1701.0000,1698.0000,1327.0000,1554.0000,39.387,44.336,39.251,39.746,28.460,30.097,1648,1607,1604,1572,1251,1521,0,0,0,0,0,0,2,2,2,2,1,2,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,1669.2980,1679.1906,1665.6003,1669.5744,1302.8633,1527.0315,0,on,1,1.5000
1786353607.752675,1,1,,1715.0000,1665.0000,1692.0000,1690.0000,1328.0000,1545.0000,36.322,46.439,41.030,41.414,28.111,31.439,1648,1607,1604,1572,1251,1521,0,0,0,0,0,0,2,2,2,2,1,2,4.9908,4.9908,4.9908,4.9908,2.9084,7.0640,1669.2980,1679.1906,1665.6003,1677.8459,1302.8633,1527.0315,0,on,1,1.5000
