t,seen,trust,why,tgt_pinky,tgt_ring,tgt_middle,tgt_index,tgt_thumb_bend,tgt_thumb_rot,curl_pinky,curl_ring,curl_middle,curl_index,thumb_flexion,opposition,ang_pinky,ang_ring,ang_middle,ang_index,ang_thumb_bend,ang_thumb_rot,cur_pinky,cur_ring,cur_middle,cur_index,cur_thumb_bend,cur_thumb_rot,sta_pinky,sta_ring,sta_middle,sta_index,sta_thumb_bend,sta_thumb_rot,gain_pinky,gain_ring,gain_middle,gain_index,gain_thumb_bend,gain_thumb_rot,sent_pinky,sent_ring,sent_middle,sent_index,sent_thumb_bend,sent_thumb_rot,sent,mode,applying,deg
1786353674.462071,1,1,,1814.0000,1850.0000,1798.0000,1850.0000,1294.0000,993.0000,45.278,34.995,47.823,22.619,45.123,85.198,1804,1786,1789,1782,1375,1844,0,0,0,0,0,0,1,0,1,1,1,1,6.0177,6.0177,6.0177,6.0177,6.4208,12.3552,1814.0000,1850.0000,1798.0000,1850.0000,1294.0000,993.0000,1,on,1,1.5000
1786353674.488574,1,1,,1821.0000,1850.0000,1789.0000,1850.0000,1342.0000,910.0000,44.004,31.394,49.427,22.897,37.661,91.914,1804,1786,1789,1782,1375,1844,0,0,0,0,0,0,1,0,1,1,1,1,6.0177,6.0177,6.0177,6.0177,6.4208,12.3552,1814.0000,1850.0000,1798.0000,1850.0000,1294.0000,993.0000,0,on,1,1.5000
1786353674.515192,1,1,,1822.0000,1850.0000,1763.0000,1850.0000,1358.0000,917.0000,43.845,32.305,53.673,31.924,35.222,91.400,1804,1786,1789,1782,1375,1844,0,0,0,0,0,19,1,0,1,1,1,1,6.0177,6.0177,6.0177,6.0177,6.4208,12.3552,1814.0000,1850.0000,1798.0000,1850.0000,1303.6745,993.0000,1,on,1,1.5000
1786353674.551375,1,1,,1816.0000,1850.0000,1747.0000,1850.0000,1348.0000,916.0000,44.927,33.871,56.398,32.223,36.785,91.427,1804,1786,1789,1782,1375,1842,0,0,0,0,75,136,1,0,1,1,1,1,6.0177,6.0177,6.0177,6.0177,6.4208,12.3552,1814.0000,1850.0000,1798.0000,1850.0000,1303.6745,965.3259,1,on,1,1.5000
1786353674.583084,1,1,,1818.0000,1850.0000,1741.0000,1850.0000,1352.0000,919.0000,44.536,33.271,57.392,32.837,36.140,91.223,1804,1786,1789,1782,1372,1807,0,0,0,0,84,90,1,0,1,1,1,1,6.0177,6.0177,6.0177,6.0177,6.4208,12.3552,1814.0000,1850.0000,1784.8246,1850.0000,1314.9323,965.3259,1,on,1,1.5000
1786353674.615156,1,1,,1814.0000,1850.0000,1738.0000,1850.0000,1353.0000,931.0000,45.190,34.229,57.818,31.653,35.931,90.219,1804,1786,1789,1782,1368,1774,0,0,0,0,71,103,1,0,1,1,1,1,6.0177,6.0177,6.0177,6.0177,6.4208,12.3552,1814.0000,1850.0000,1784.8246,1850.0000,1314.9323,965.3259,0,on,1,1.5000
1786353674.651146,1,1,,1815.0000,1850.0000,1738.0000,1850.0000,1348.0000,929.0000,45.000,33.557,57.888,32.097,36.771,90.435,1804,1786,1789,1782,1363,1740,0,0,0,0,71,85,1,0,1,1,1,1,6.0177,6.0177,6.0177,6.0177,6.4208,12.3552,1814.0000,1850.0000,1773.5389,1850.0000,1314.9323,965.3259,1,on,1,1.5000
1786353674.683149,1,1,,1817.0000,1850.0000,1738.0000,1850.0000,1353.0000,924.0000,44.658,33.437,57.795,31.270,36.012,90.804,1804,1786,1789,1782,1360,1720,0,0,18,0,71,78,1,0,1,1,1,1,6.0177,6.0177,6.0177,6.0177,6.4208,12.3552,1814.0000,1850.0000,1773.5389,1850.0000,1325.7462,965.3259,1,on,1,1.5000
1786353674.715134,1,1,,1815.0000,1850.0000,1744.0000,1850.0000,1352.0000,907.0000,45.049,33.078,56.870,31.332,36.137,92.191,1804,1786,1789,1782,1355,1690,0,0,49,0,57,87,1,0,1,1,1,1,6.0177,6.0177,6.0177,6.0177,6.4208,12.3552,1814.0000,1850.0000,1773.5389,1850.0000,1325.7462,944.9470,1,on,1,1.5000
1786353674.751080,1,1,,1810.0000,1850.0000,1746.0000,1850.0000,1355.0000,922.0000,45.929,33.999,56.528,30.499,35.702,90.975,1804,1786,1785,1782,1352,1662,0,0,28,0,57,82,1,0,1,1,1,1,6.0177,6.0177,6.0177,6.0177,6.4208,12.3552,1814.0000,1850.0000,1773.5389,1850.0000,1325.7462,944.9470,0,on,1,1.5000
